time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-12-17T23:38:06.820Z,20.7727,146.7903,9,6.2,mww,,14,4.162,0.81,us,usc000lmmc,2014-02-27T21:41:44.632Z,"198km E of Farallon de Pajaros, Northern Mariana Islands",earthquake,,1.6,,,reviewed,us,us
2013-12-08T17:24:54.200Z,44.4438,149.1667,28,6,mww,,26,4.726,0.99,us,usb000lds9,2014-02-15T01:41:10.788Z,"134km SE of Kuril'sk, Russia",earthquake,,1.7,,,reviewed,us,us
2013-12-01T06:29:57.800Z,2.044,96.8261,20,6,mww,,27,1.049,0.89,us,usb000l8pb,2014-02-12T01:26:24.770Z,"69km SE of Sinabang, Indonesia",earthquake,,1.7,,,reviewed,us,us
2013-12-01T01:24:13.520Z,-7.0269,128.3791,9.87,6.4,mww,,11,3.046,0.7,us,usb000l8mb,2015-01-31T03:26:03.056Z,"Kepulauan Barat Daya, Indonesia",earthquake,,2.1,,,reviewed,us,us
2013-11-25T07:21:18.420Z,-53.8708,-53.9107,14.83,6,mwc,,58,3.346,0.76,us,usb000l633,2014-02-11T02:22:33.206Z,"South Atlantic Ocean",earthquake,,3.1,,,reviewed,us,gcmt
2013-11-25T06:27:33.300Z,-53.9451,-55.0033,11.78,7,mww,,31,2.935,1.08,us,usb000l5zn,2017-11-14T15:44:19.341Z,"Falkland Islands region",earthquake,,2.4,,,reviewed,us,us
2013-11-25T05:56:50.140Z,45.5613,151.0047,34,6,mww,,26,5.885,0.66,us,usb000l5z1,2014-02-11T02:32:38.383Z,"247km E of Kuril'sk, Russia",earthquake,,1.7,,,reviewed,us,us
2013-11-23T07:48:32.130Z,-17.1171,-176.5449,371,6.5,mww,,22,5.194,0.83,us,usb000l51g,2015-01-31T00:08:51.011Z,"Fiji region",earthquake,,1.8,,,reviewed,us,us
2013-11-19T17:00:44.160Z,18.4753,145.2041,511,6,mww,,10,1.848,1.05,us,usb000l25i,2014-02-11T02:29:01.431Z,"58km WSW of Agrihan, Northern Mariana Islands",earthquake,,1.8,,,reviewed,us,us
2013-11-19T13:32:51.230Z,2.6403,128.4339,38,6,mww,,19,2.14,1.01,us,usb000l219,2017-10-11T20:43:22.346Z,"111km NNE of Tobelo, Indonesia",earthquake,,1.7,,,reviewed,us,us
2013-11-17T09:04:55.530Z,-60.2738,-46.4011,10,7.7,mww,,23,8.05,1.33,us,usb000l0gq,2018-10-17T20:38:32.302Z,"Scotia Sea",earthquake,,1.7,,,reviewed,us,us
2013-11-16T03:34:31.230Z,-60.2627,-47.0621,9.97,6.9,mww,,17,8.284,0.84,us,usb000kznc,2014-01-31T21:32:02.803Z,"Scotia Sea",earthquake,,1.9,,,reviewed,us,us
2013-11-13T23:45:47.930Z,-60.2814,-47.1233,11.07,6.1,mww,,23,8.319,1.19,us,usb000kxhr,2014-01-31T21:26:05.362Z,"Scotia Sea",earthquake,,0.6,,,reviewed,us,us
2013-11-12T07:03:51.090Z,54.6859,162.3024,43,6.4,mww,,20,2.73,0.87,us,usb000kw1x,2014-01-31T21:35:40.466Z,"172km S of Ust'-Kamchatsk Staryy, Russia",earthquake,,1.8,,,reviewed,us,us
2013-11-02T18:53:46.900Z,-19.1711,-172.6411,10.05,6.2,mww,,21,5.297,0.72,us,usb000krlz,2014-01-10T10:03:43.000Z,"152km ESE of Neiafu, Tonga",earthquake,,1.1,,,reviewed,us,us
2013-11-02T15:52:46.110Z,-23.6357,-112.5956,9.98,6,mww,,35,4.558,0.81,us,usb000krjt,2014-01-10T10:03:42.000Z,"Easter Island region",earthquake,,1.6,,,reviewed,us,us
2013-10-31T23:03:59.720Z,-30.2921,-71.5215,27,6.6,mww,,31,0.636,1.28,us,usb000kqnc,2018-05-04T21:19:14.351Z,"41km SSW of Coquimbo, Chile",earthquake,,1.7,,,reviewed,us,us
2013-10-31T12:02:08.720Z,23.5904,121.4366,10,6.3,mww,,15,0.234,1.29,us,usc000ksdy,2017-10-11T20:42:57.444Z,"46km SSW of Hualian, Taiwan",earthquake,,1.7,,,reviewed,us,us
2013-10-30T02:51:47.000Z,-35.314,-73.395,41.5,6.2,mww,,,,1.68,us,usc000kr9k,2015-01-29T18:59:45.946Z,"88km W of Constitucion, Chile",earthquake,,3.9,,,reviewed,guc,us
2013-10-25T17:10:19.710Z,37.1557,144.6611,35,7.1,mww,,10,3.968,1.01,us,usc000kn4n,2017-11-14T15:40:21.521Z,"Off the east coast of Honshu, Japan",earthquake,,1.8,,,reviewed,us,us
2013-10-24T19:25:10.930Z,-58.153,-12.7964,22.87,6.7,mww,,53,13.711,0.99,us,usc000kmfw,2014-01-03T00:40:15.133Z,"East of the South Sandwich Islands",earthquake,,2.3,,,reviewed,us,us
2013-10-23T08:23:30.360Z,-23.0067,-177.1425,160,6,mwb,,19,6.252,0.84,us,usb000kj1z,2014-01-03T00:37:25.940Z,"283km SW of Vaini, Tonga",earthquake,,1.9,0.042,,reviewed,us,us
2013-10-19T17:54:54.700Z,26.0913,-110.3209,9.45,6.6,mww,,44,1.98,1.1,us,usb000khbc,2017-10-11T20:42:36.064Z,"99km SW of Etchoropo, Mexico",earthquake,,3,,,reviewed,us,us
2013-10-16T10:30:58.550Z,-6.4456,154.931,35,6.8,mww,,9,5.79,0.94,us,usb000kemb,2017-10-11T20:42:23.902Z,"62km WSW of Panguna, Papua New Guinea",earthquake,,1.8,,,reviewed,us,us
2013-10-15T00:12:32.050Z,9.8796,124.1167,19.04,7.1,mww,,12,3.144,1.3,us,usb000kdb4,2017-11-14T15:39:03.247Z,"4km SE of Sagbayan, Philippines",earthquake,,2.9,,,reviewed,us,us
2013-10-12T13:11:53.350Z,35.5142,23.2523,40,6.6,mww,,40,1.984,1.21,us,usb000kbn7,2017-10-11T20:41:10.500Z,"31km W of Platanos, Greece",earthquake,,1.9,,,reviewed,us,us
2013-10-12T02:10:27.290Z,10.9048,-62.315,63,6,mww,,29,1.381,1.06,us,usb000kbhi,2017-10-11T20:41:01.523Z,"36km N of Gueiria, Venezuela",earthquake,,1.7,,,reviewed,us,us
2013-10-11T21:25:00.010Z,-30.6623,-178.4838,151,6.2,mww,,46,1.492,1.2,us,usb000kbbm,2013-12-24T01:58:16.695Z,"94km NNE of L'Esperance Rock, New Zealand",earthquake,,1.8,,,reviewed,us,us
2013-10-06T21:33:19.800Z,-36.7267,-97.4761,10.28,6.2,mww,,41,20.626,1.33,us,usb000k7s0,2013-12-19T02:55:55.882Z,"West Chile Rise",earthquake,,1.7,,,reviewed,us,us
2013-10-06T16:38:08.760Z,12.3115,141.6905,104,6,mww,,12,3.348,0.73,us,usb000k7q5,2013-12-19T03:14:10.526Z,"Mariana Islands region",earthquake,,1.7,,,reviewed,us,us
2013-10-04T17:26:13.620Z,-38.6062,78.3693,12.72,6.4,mww,,26,20.977,1.14,us,usb000k6nk,2013-12-19T02:56:07.970Z,"113km SE of Amsterdam Island, ",earthquake,,2.8,,,reviewed,us,us
2013-10-01T03:38:21.710Z,53.1995,152.7864,573,6.7,mww,,11,2.958,1.2,us,usb000k3c1,2013-12-19T02:59:34.067Z,"Sea of Okhotsk",earthquake,,1.8,,,reviewed,us,us
