lat,lon,amplitude_1014kgm,year,month,day,hour,minute,second,lat2,lon2,Msurf,Region Number,ID
68.61,-32.67,0.61,1999,11,15,23,6,16,68.25,-32.75,4.9,1,E199911152306
66.29,-38.8,0.34,1999,12,21,4,40,16,65.5,-37.5,4.7,2,E199912210440
68.62,-32.9,0.68,2000,3,3,14,41,12,69.25,-30.75,4.8,1,E200003031441
68.75,-33.49,0.6,2000,3,3,14,57,12,68.5,-35.5,4.9,1,E200003031457
68.7,-32.78,0.62,2000,6,12,9,37,4,69.5,-31.5,4.8,1,E200006120937
71.98,-28.32,0.45,2000,7,2,10,36,48,71.75,-28.75,4.8,0,E200007021036
68.61,-32.81,1.22,2000,7,21,19,2,40,67.75,-34.25,5,1,E200007211902
75.4,-58.14,0.45,2000,8,16,21,24,48,75.5,-59.5,4.9,4c,E200008162124
65.3,-41.32,0.41,2000,9,4,11,57,28,66.5,-41.5,4.8,3,E200009041157
66.28,-38.05,0.32,2000,9,15,7,4,32,66.25,-37.75,4.8,2,E200009150704
73.53,-55.33,0.56,2000,9,17,2,18,8,73.5,-56.5,4.8,5a,E200009170218
68.69,-32.94,0.63,2000,10,20,2,1,4,69,-33,4.9,1,E200010200201
66.42,-37.95,0.33,2001,2,7,5,36,8,65.75,-37.75,4.8,2,E200102070536
73.07,-54.65,0.33,2001,7,2,1,14,24,72.75,-54.25,4.7,5b,E200107020114
66.48,-37.96,0.35,2001,7,6,3,25,44,66.5,-38.5,4.8,2,E200107060325
75.84,-58.22,0.32,2001,8,11,6,27,28,75.75,-59.25,4.8,4c,E200108110627
68.67,-32.93,0.78,2001,9,3,13,1,12,68.5,-34.5,4.9,1,E200109031301
68.67,-33.05,0.55,2001,10,1,16,37,36,68.75,-33.75,4.9,1,E200110011637
73.15,-54.21,0.21,2001,10,24,17,24,56,72.5,-54.5,4.6,5b,E200110241724
68.59,-33.03,1.15,2001,11,29,2,46,40,67.75,-32.25,5,1,E200111290246
68.69,-32.98,0.48,2001,12,20,7,27,4,69,-27,4.8,1,E200112200727
71.81,-51.77,0.32,2001,12,21,3,13,36,72.75,-53.75,4.8,6,E200112210313
66.45,-38.36,0.27,2001,12,26,19,39,52,66.25,-38.75,4.7,2,E200112261939
68.61,-32.78,0.87,2001,12,28,17,19,36,68.75,-33.25,5,1,E200112281719
68.62,-33.04,0.78,2002,2,27,15,43,4,69.5,-30.5,4.9,1,E200202271543
68.65,-33,0.76,2002,4,4,22,49,4,68.75,-33.25,4.9,1,E200204042249
66.44,-38.22,0.29,2002,4,19,21,50,8,67.25,-38.25,4.7,2,E200204192150
66.44,-38.3,0.35,2002,5,1,10,13,44,66.25,-38.25,4.8,2,E200205011013
66.4,-38.2,0.25,2002,5,12,18,6,24,66.75,-38.75,4.7,2,E200205121806
66.44,-38.21,0.27,2002,6,8,4,31,44,66.25,-38.25,4.7,2,E200206080431
66.5,-38.05,0.22,2002,6,8,18,2,16,66.25,-38.25,4.7,2,E200206081802
73.13,-54.25,0.47,2002,6,18,22,2,8,73.25,-57.25,4.8,5b,E200206182202
73.12,-54.52,0.45,2002,7,14,5,18,32,73,-55,4.8,5b,E200207140518
75.54,-58.26,0.29,2002,7,19,0,42,16,75,-57,4.7,4c,E200207190042
66.38,-38.34,0.3,2002,8,3,10,13,4,66.75,-38.25,4.8,2,E200208031013
68.8,-33.53,0.36,2002,9,20,2,0,16,68.5,-33.5,4.9,1,E200209200200
68.68,-33.15,0.38,2002,9,26,3,46,16,69,-33,4.8,1,E200209260346
76.03,-59.44,0.29,2002,10,2,22,25,44,76.5,-63.5,4.8,4b,E200210022225
75.53,-57.83,0.35,2002,11,14,12,50,56,75.75,-59.25,4.8,4c,E200211141250
68.68,-33.32,0.69,2003,2,3,21,44,0,68.5,-32.5,5,1,E200302032144
71.89,-51.21,0.39,2003,2,17,19,30,40,71.5,-52.5,4.8,6,E200302171930
75.92,-59.71,0.42,2003,3,10,21,17,36,75.5,-57.5,4.9,4b,E200303102117
75.64,-58.08,0.31,2003,3,26,9,21,4,75.75,-57.75,4.7,4c,E200303260921
71.81,-51.92,0.41,2003,4,1,8,29,44,71,-53,4.8,6,E200304010829
72.16,-28.65,0.55,2003,7,26,4,41,44,72.25,-28.75,4.8,0,E200307260441
66.3,-38.43,0.46,2003,8,3,23,40,40,66.25,-37.75,4.9,2,E200308032340
68.68,-33,0.41,2003,8,5,14,0,24,68.5,-33.5,4.8,1,E200308051400
68.47,-32.88,0.64,2003,8,13,8,51,12,68.25,-34.75,5,1,E200308130851
74.9,-56.18,0.28,2003,8,14,23,30,24,75,-57,4.7,4e,E200308142330
75.45,-58.1,0.32,2003,8,30,5,49,28,75.75,-58.75,4.7,4c,E200308300549
76.04,-59.81,0.43,2003,9,20,20,31,20,75.75,-60.25,4.8,4b,E200309202031
68.6,-32.97,0.36,2003,9,24,1,1,12,69.25,-32.25,4.8,1,E200309240101
68.69,-33.09,0.81,2003,9,24,1,32,0,69.25,-32.75,5,1,E200309240132
66.49,-38.52,0.42,2003,10,2,9,7,4,67.25,-37.25,4.8,2,E200310020907
68.56,-32.85,1.11,2003,10,5,3,7,52,68.5,-33.5,5,1,E200310050307
66.37,-38.38,0.56,2003,10,12,21,12,40,66.5,-38.5,4.9,2,E200310122112
68.75,-32.87,0.52,2003,10,18,16,10,56,68.5,-33.5,5,1,E200310181610
75.99,-59.24,0.35,2003,10,19,9,23,44,76.25,-60.75,4.8,4b,E200310190923
66.4,-38.24,0.43,2003,11,9,4,17,52,66.25,-38.25,4.8,2,E200311090417
75.87,-60,0.23,2004,1,7,14,37,4,75.75,-58.75,4.7,4b,E200401071437
67.87,-33.51,0.2,2004,1,27,6,15,52,68.25,-33.75,4.7,11,E200401270615
66.37,-38.54,0.21,2004,3,16,14,1,36,66.5,-38.5,4.6,2,E200403161401
73.56,-54.35,0.12,2004,4,11,4,7,36,73,-55,4.6,5a,E200404110407
66.43,-38.06,0.5,2004,5,26,12,0,16,66.25,-38.75,4.8,2,E200405261200
75.55,-58.34,0.32,2004,6,3,4,38,48,75.75,-59.25,4.8,4c,E200406030438
66.44,-38.42,0.7,2004,6,25,5,58,56,66.5,-38.5,4.9,2,E200406250558
66.51,-38.84,0.32,2004,6,25,6,5,28,66.25,-38.75,4.9,2,E200406250605
71.83,-51.58,0.33,2004,7,2,6,15,20,71.25,-51.75,4.8,6,E200407020615
66.38,-38.18,0.28,2004,7,6,10,15,12,66.25,-38.25,4.8,2,E200407061015
66.31,-38.3,0.27,2004,7,6,10,22,48,65.75,-37.75,4.7,2,E200407061022
66.45,-38.98,0.44,2004,7,21,12,33,36,66.75,-38.25,4.8,2,E200407211233
68.61,-32.84,0.29,2004,8,1,9,27,4,69,-33,4.8,1,E200408010927
66.41,-38.26,0.36,2004,8,11,7,22,40,66.75,-39.25,4.8,2,E200408110722
72.01,-28.6,0.6,2004,8,12,13,8,8,72.75,-29.75,4.9,0,E200408121308
66.4,-38.15,0.37,2004,8,13,19,34,0,66.25,-38.25,4.9,2,E200408131934
75.71,-58.16,0.39,2004,8,22,14,9,44,75.75,-57.25,4.7,4c,E200408221409
76.07,-59.39,0.33,2004,8,26,17,0,8,75.75,-58.25,4.8,4b,E200408261700
68.67,-33.2,0.33,2004,9,20,5,11,4,68.5,-33.5,4.8,1,E200409200511
73.06,-54.46,0.35,2004,9,26,7,46,16,72.75,-54.25,4.8,5b,E200409260746
68.67,-33.27,0.74,2004,11,1,16,39,12,69.25,-32.25,5,1,E200411011639
66.45,-38.16,0.29,2004,11,2,22,6,40,67,-37,4.8,2,E200411022206
75.92,-59.74,0.43,2004,11,20,7,29,28,75.75,-60.75,4.9,4b,E200411200729
75.98,-59.84,0.37,2004,11,24,3,44,24,76.25,-60.75,4.8,4b,E200411240344
68.74,-33.53,0.3,2004,11,24,20,55,12,69.5,-33.5,4.7,1,E200411242055
76.09,-59.51,0.43,2004,12,16,14,53,12,76.25,-61.75,4.8,4b,E200412161453
75.99,-59.6,0.37,2004,12,30,17,6,0,76.25,-60.75,4.8,4b,E200412301706
75.63,-57.88,0.49,2005,1,2,7,26,8,75.5,-59.5,4.8,4c,E200501020726
68.69,-33.22,1,2005,1,12,20,39,12,68.75,-33.25,5.1,1,E200501122039
66.53,-38.49,0.84,2005,2,11,6,55,20,66.75,-38.75,5,2,E200502110655
66.5,-38.42,0.59,2005,2,19,13,29,28,66.5,-38.5,4.8,2,E200502191329
68.65,-32.6,0.35,2005,3,20,8,5,4,68.5,-32.5,4.8,1,E200503200805
66.42,-38.01,0.39,2005,4,5,13,3,28,66.5,-38.5,4.9,2,E200504051303
68.81,-32.92,0.45,2005,4,6,16,41,20,68.75,-32.75,4.9,1,E200504061641
66.48,-38.72,0.51,2005,4,23,2,10,8,66.75,-37.75,5,2,E200504230210
68.68,-33.07,0.49,2005,4,26,6,13,28,68.25,-33.75,4.8,1,E200504260613
66.44,-38.04,0.52,2005,5,12,17,23,20,67.25,-37.25,5,2,E200505121723
66.47,-38.22,0.68,2005,5,12,19,16,56,66.25,-38.25,4.9,2,E200505121916
75.91,-59.95,0.4,2005,6,11,16,10,48,76.25,-61.75,4.8,4b,E200506111610
66.52,-38.54,0.43,2005,6,16,13,57,44,66.5,-39.5,4.9,2,E200506161357
66.39,-38.3,0.51,2005,7,11,21,53,20,66.25,-39.25,4.8,2,E200507112153
71.81,-51.77,0.5,2005,7,17,2,30,56,71.5,-51.5,4.8,6,E200507170230
65.24,-41.48,0.37,2005,7,28,0,45,4,65.25,-41.25,4.8,3,E200507280045
72.01,-28.45,0.43,2005,7,28,12,22,40,72.25,-27.75,4.8,0,E200507281222
69.32,-49.59,0.41,2005,7,30,20,28,56,69.25,-49.25,4.8,7,E200507302028
71.9,-28.38,0.37,2005,8,2,13,28,40,72.25,-29.75,4.8,0,E200508021328
72.89,-54.23,0.26,2005,8,3,0,58,0,73.5,-53.5,4.7,5b,E200508030058
66.42,-38.29,0.5,2005,8,11,6,1,36,66.75,-38.75,4.9,2,E200508110601
66.42,-38.21,0.23,2005,8,11,6,40,0,65.25,-38.25,4.7,2,E200508110640
77.62,-66.78,0.39,2005,8,12,19,30,56,77.5,-66.5,4.8,4a,E200508121930
66.46,-38.27,0.48,2005,8,14,3,33,12,65.75,-38.25,4.9,2,E200508140333
69.22,-49.68,0.39,2005,8,16,0,56,40,69.75,-49.75,4.8,7,E200508160056
76.03,-59.46,0.46,2005,8,18,1,39,4,76.25,-60.75,4.8,4b,E200508180139
66.39,-38.27,0.25,2005,8,20,7,54,40,67.5,-38.5,4.7,2,E200508200754
67.74,-33.14,0.16,2005,9,18,15,1,52,69.5,-34.5,4.7,11,E200509181501
68.61,-33.16,0.8,2005,9,20,10,7,44,69.5,-32.5,5,1,E200509201007
74.64,-56.46,0.35,2005,10,10,20,15,12,75.25,-56.75,4.8,4e,E200510102015
68.76,-33.19,0.55,2006,2,13,20,29,52,70.25,-30.75,4.8,1,S200602132029X
68.72,-33.19,0.56,2006,2,28,22,44,32,69,-33,4.8,1,S200602282244X
